UserID,User_Age,User_Gender,Keystrokes_Mean,Happy,Sad,Neutral,Stressed,Postponing,undefined,Sessions_Number
E512E526-B1B8-4B5F-B94A-9AACDAAABB56,Adult,Female,2.94,0,31,56,81,0,0,168
04943997-DC67-444D-A52D-6C7314C0C660,Adult,Male,8.56,0,0,0,25,0,0,25
7E138C9C-DFCA-4303-B2FB-12B4ED93F0A8,Adult,Female,13.98,21,0,8,12,0,0,41
B8C51139-CA5A-4C97-BFF9-6F1A16D9F335,Adult,Female,23.2,24,0,1,0,0,0,25
F72518C6-81F9-4009-9D42-16868D857F21,Adult,Female,10.06,22,42,147,114,0,0,325
35BACA1B-EA84-49EC-ADD9-3CFB670814F8,Youth,Female,5.67,26,0,40,0,0,0,66
C4C777B4-A016-40C0-B26B-690C53F62632,Youth,Female,2.13,32,0,76,137,0,0,245
B6D35DD6-FD3E-4B15-A8A5-AF8966566C1E,Youth,Female,5.28,0,94,275,52,0,0,421
B976F546-F8D2-426C-A715-A662B3F82793,Youth,Female,6.07,90,0,45,11,0,0,146
ohSuhaila,Adult,Female,21.3,143,0,94,177,0,0,414
CFA84E45-0EF7-49C8-AF4C-6CB9D5D71757,Adult,Female,4.23,0,0,26,0,0,0,26
80D40894-5209-45AD-A1CE-950E32845C8B,Adult,Male,6.0,0,0,2,0,0,0,2
A2460710-15BD-4C16-A177-DD2EABDE2469,Youth,Female,6.4,0,0,2,8,0,0,10
6FCA963C-B2E6-4E7A-8E69-4CBCDE6483A4,Adult,Male,4.14,7,0,0,0,0,0,7
B3D5D2B5-A895-4E95-9FA0-A7F6FFD2545B,Adult,Female,5.74,1,0,22,0,0,0,23
5E9ABF50-8231-4D9F-A47F-DA324AC062E9,Youth,Female,14.91,0,78,0,0,0,0,78
FF66B51D-201D-4444-AF1B-CBCDF6318A08,Youth,Female,3.66,31,140,210,93,0,0,474
8A042592-3BCE-4C37-97BA-A1899923911F,Youth,Male,17.0,3,2,0,5,0,0,10
856C832A-D81E-436E-ABBE-FF25E452BBFC,Adult,Female,0.57,0,0,3,4,0,0,7
9DF05A11-AA1B-4B1C-9537-9A18ACD70F68,Youth,Female,100.2,0,0,15,0,0,0,15
0EC3783F-A83F-4EC4-AF83-3A1B09A84498,Adult,Female,3.15,30,18,0,76,0,0,124
6C05112C-6F7D-456B-BCDF-1DDDFC93031A,Adult,Female,16.5,0,0,4,0,0,0,4
mirakhamis ,Youth,Female,4.67,0,0,0,21,0,0,21
D557D8F8-4507-4C85-9E72-73D8DA37D2EC,Youth,Female,11.48,528,0,113,229,0,0,870
625215FC-2279-45E5-A969-78B30A69B074,Youth,Female,2.48,0,0,82,5,0,0,87
A183B914-7DCD-4033-9825-A4EF4A598F23,Youth,Female,1.17,0,5,0,1,0,0,6
FCF0D8E8-6F1A-4B7C-BEC3-5EBB93A6CE7B,Youth,Male,23.0,1,0,0,0,0,0,1
82DA3BC5-05BF-4FD1-A64D-535EF0738E0D,Adult,Male,4.13,37,0,24,88,0,0,149
D24B8716-810F-41AB-A905-197370EB08C6,Adult,Female,5.02,39,30,31,11,0,0,111
C409C151-DD6A-41BA-83F7-D5C92AEACA2A,Youth,Male,17.0,0,0,0,1,0,0,1
20C9D2C5-10C2-4477-A28C-B8395987638C,Adult,Male,14.0,2,0,0,0,0,0,2
6A6B8485-68BD-4433-BCA9-14745B84F504,Adult,Female,2.7,3,2,62,45,0,0,112
C603EFBD-8682-4E36-A41A-8EF4F209B747,Youth,Female,0.0,0,0,0,2,0,0,2
hamoody woody,Youth,Male,8.9,0,0,20,0,0,0,20
A1D07844-C62F-4D3E-9598-A011D27C6C80,Adult,Female,5.48,0,0,25,0,0,0,25
3E8F6AF2-0E2C-459C-8736-7DC3853B0469,Adult,Female,13.31,18,0,103,0,0,0,121
85B8C239-2DC0-4D52-A36F-A9B007A9A2A4,Adult,Female,4.68,5,28,151,89,0,0,273
08692544-2148-4A1C-A49C-B598F1719773,Youth,Female,19.5,2,0,0,2,0,0,4
E8AC0948-E77B-4EE9-93AD-C2263FCDC089,Adult,Male,3.67,0,0,0,3,0,0,3
FB27276B-A03B-4DA6-BA6A-43F4723069CF,Youth,Male,30.02,0,25,99,56,0,0,180
65CFD1CC-67FF-4F5E-8ED5-10D6A83236D2,Adult,Female,2.38,4,20,54,2,0,0,80
Soull_7 ,Youth,Female,4.17,0,0,12,0,0,0,12
445E7CBD-FDE2-4267-B6A6-A6AD6D89F403,Youth,Female,0.0,0,0,1,0,0,0,1
65CFD1CC-67FF-4F5E-8ED5-10D6A83236D2,Adult,Female,0.73,3,3,5,0,0,0,11
C93F56E2-B236-4DA8-8AC8-DCDBEED7B54C,Youth,Male,1.6,0,0,0,5,0,0,5
BB9F141D-DA36-44C8-B254-5F48DE21F3CE,Adult,Female,6.5,4,0,0,0,0,0,4
657726FE-04AF-46AC-B809-3A19CD416C2F,Adult,Male,17.01,50,0,241,1,0,0,292
6B0A280B-B755-46DF-B162-8FDF116EE1BC,Youth,Female,23.0,0,0,31,0,0,0,31
